[filename], [gate], [angular_velocity_min], [angular_velocity_max], [time_min], [time_max]
5.5_angles.xlsx,RightShoulder,-0.37,0.22,2196.99,2239.63
5.5_angles.xlsx,LeftElbow,-0.34,0.47,1666.29,1800.15
5.5_angles.xlsx,RightElbow,-0.52,0.96,2240.82,2196.99
5.5_angles.xlsx,LeftHip,-0.19,0.12,865.51,228.2
5.5_angles.xlsx,RightHip,-0.18,0.12,262.55,1295.51
5.5_angles.xlsx,LeftKnee,-0.56,0.53,28.0,1223.25
5.5_angles.xlsx,RightKnee,-0.82,0.59,530.27,1628.38
5.5_angles.xlsx,LeftAnkle,-1.84,2.46,698.48,1032.53
5.5_angles.xlsx,RightAnkle,-1.47,2.23,2199.36,1498.08
6,2_angles.xlsx,LeftShoulder,-0.12,0.19,2962.85,3007.1
6,2_angles.xlsx,RightShoulder,-0.16,0.07,3410.63,771.73
6,2_angles.xlsx,LeftElbow,-0.31,0.27,2771.7,2038.97
6,2_angles.xlsx,RightElbow,-0.18,0.17,3272.58,2638.96
6,2_angles.xlsx,LeftHip,-0.12,0.2,771.73,1336.33
6,2_angles.xlsx,RightHip,-0.34,0.23,708.02,603.59
6,2_angles.xlsx,LeftKnee,-0.4,0.57,1969.94,2242.51
6,2_angles.xlsx,RightKnee,-0.47,0.57,1906.23,706.25
6,2_angles.xlsx,LeftAnkle,-1.08,1.55,2113.31,2069.06
6,2_angles.xlsx,RightAnkle,-2.19,2.27,1109.78,904.47
6.1_angles.xlsx,LeftShoulder,-0.12,0.14,2210.58,5111.32
6.1_angles.xlsx,RightShoulder,-0.12,0.12,5111.32,5212.24
6.1_angles.xlsx,LeftElbow,-1.98,1.32,4009.85,4278.01
6.1_angles.xlsx,RightElbow,-0.09,0.08,2239.42,2285.55
6.1_angles.xlsx,LeftHip,-0.15,0.08,907.27,774.63
6.1_angles.xlsx,RightHip,-0.18,0.23,2643.1,3314.94
6.1_angles.xlsx,LeftKnee,-0.44,0.36,3407.21,3810.89
6.1_angles.xlsx,RightKnee,-0.57,0.31,2640.21,2994.88
6.1_angles.xlsx,LeftAnkle,-1.26,1.75,4906.6,1806.9
6.1_angles.xlsx,RightAnkle,-2.37,2.17,4211.69,2726.72
6.3_angles.xlsx,LeftShoulder,-0.32,0.52,2596.91,2702.39
6.3_angles.xlsx,RightShoulder,-0.11,0.14,2258.16,2538.96
6.3_angles.xlsx,LeftElbow,-0.35,0.41,2604.34,2700.91
6.3_angles.xlsx,RightElbow,-0.18,0.22,1962.49,1102.25
6.3_angles.xlsx,LeftHip,-0.13,0.1,1131.96,1932.78
6.3_angles.xlsx,RightHip,-0.21,0.17,2271.53,1209.22
6.3_angles.xlsx,LeftKnee,-0.44,0.37,634.24,1937.24
6.3_angles.xlsx,RightKnee,-0.52,0.41,1169.11,1433.57
6.3_angles.xlsx,LeftAnkle,-1.79,1.68,1672.77,1628.2
6.3_angles.xlsx,RightAnkle,-2.35,2.04,2270.04,2234.39
6.4_angles.xlsx,LeftShoulder,-0.59,0.47,2407.31,2370.77
6.4_angles.xlsx,RightShoulder,-0.23,0.48,2144.2,2403.66
6.4_angles.xlsx,LeftElbow,-0.25,0.15,787.23,1029.63
6.4_angles.xlsx,RightElbow,-0.17,0.17,2133.24,850.57
6.4_angles.xlsx,LeftHip,-0.15,0.19,505.84,463.21
6.4_angles.xlsx,RightHip,-0.13,0.2,1532.71,1435.26
6.4_angles.xlsx,LeftKnee,-0.51,0.42,1741.01,1967.58
6.4_angles.xlsx,RightKnee,-0.62,0.56,1385.32,1602.14
6.4_angles.xlsx,LeftAnkle,-1.53,1.76,161.12,1664.27
6.4_angles.xlsx,RightAnkle,-1.94,1.91,1367.05,698.31
7,2_angles.xlsx,LeftShoulder,-0.06,0.08,2385.5,951.51
7,2_angles.xlsx,RightShoulder,-0.06,0.07,2958.68,1415.51
7,2_angles.xlsx,LeftElbow,-0.18,0.13,3015.37,2477.88
7,2_angles.xlsx,RightElbow,-0.19,0.2,1982.39,2246.93
7,2_angles.xlsx,LeftHip,-0.18,0.12,1749.34,1646.46
7,2_angles.xlsx,RightHip,-0.09,0.09,1785.03,1740.94
7,2_angles.xlsx,LeftKnee,-0.35,0.27,2482.08,2677.34
7,2_angles.xlsx,RightKnee,-0.41,0.31,1881.61,2148.25
7,2_angles.xlsx,LeftAnkle,-1.61,2.17,2416.99,2580.76
7,2_angles.xlsx,RightAnkle,-2.09,1.82,2988.07,3044.76
7.1_angles.xlsx,LeftShoulder,-0.1,0.09,2607.29,737.79
7.1_angles.xlsx,RightShoulder,-0.06,0.08,1372.36,1474.91
7.1_angles.xlsx,LeftElbow,-0.17,0.23,2075.29,2611.56
7.1_angles.xlsx,RightElbow,-0.21,0.18,1506.96,1169.38
7.1_angles.xlsx,LeftHip,-0.11,0.11,2053.92,1994.1
7.1_angles.xlsx,RightHip,-0.21,0.16,1989.82,2056.06
7.1_angles.xlsx,LeftKnee,-0.28,0.37,2635.07,1737.71
7.1_angles.xlsx,RightKnee,-0.41,0.31,2038.96,2338.08
7.1_angles.xlsx,LeftAnkle,-1.42,1.9,838.21,2805.99
7.1_angles.xlsx,RightAnkle,-1.89,2.25,1874.45,2171.43
7.3_angles.xlsx,LeftShoulder,-0.06,0.06,1872.08,1079.4
7.3_angles.xlsx,RightShoulder,-0.12,0.08,672.44,1672.14
7.3_angles.xlsx,LeftElbow,-0.24,0.14,3108.88,3071.73
7.3_angles.xlsx,RightElbow,-0.25,0.25,1438.58,674.21
7.3_angles.xlsx,LeftHip,-0.12,0.17,1656.22,1707.53
7.3_angles.xlsx,RightHip,-0.18,0.25,1707.53,1640.29
7.3_angles.xlsx,LeftKnee,-0.32,0.3,1339.5,1606.67
7.3_angles.xlsx,RightKnee,-0.48,0.4,2916.02,2132.18
