[filename], [gate], [angular_velocity_min], [angular_velocity_max], [time_min], [time_max]
4.4_angles.xlsx,RightAnkle,-1.24,1.31,5717.14,5754.17
4.5_angles.xlsx,LeftShoulder,-0.67,0.63,4559.89,2737.12
4.5_angles.xlsx,RightShoulder,-0.5,0.75,4617.52,2837.99
4.5_angles.xlsx,LeftElbow,-0.6,0.59,2737.12,2964.07
4.5_angles.xlsx,RightElbow,-0.48,0.77,4437.41,2938.85
4.5_angles.xlsx,LeftHip,-0.49,0.18,6541.15,3335.11
4.5_angles.xlsx,RightHip,-0.29,0.28,6530.35,3270.26
4.5_angles.xlsx,LeftKnee,-0.4,0.64,4001.53,4160.03
4.5_angles.xlsx,RightKnee,-0.47,0.69,3839.43,4145.62
4.5_angles.xlsx,LeftAnkle,-1.44,1.6,2139.14,2178.77
4.5_angles.xlsx,RightAnkle,-1.28,1.38,4675.16,7142.74
4.6_angles.xlsx,LeftShoulder,-0.54,0.49,2170.58,3709.89
4.6_angles.xlsx,RightShoulder,-0.72,0.57,2344.18,3906.64
4.6_angles.xlsx,LeftElbow,-0.74,0.4,3709.89,642.84
4.6_angles.xlsx,RightElbow,-0.94,1.03,9305.82,9346.32
4.6_angles.xlsx,LeftHip,-0.6,0.38,1973.82,2639.32
4.6_angles.xlsx,RightHip,-0.63,0.63,2124.28,2575.66
4.6_angles.xlsx,LeftKnee,-0.31,0.38,5879.98,10000.24
4.6_angles.xlsx,RightKnee,-0.57,0.93,1973.82,2569.87
4.6_angles.xlsx,LeftAnkle,-1.22,1.25,4005.02,4404.32
4.6_angles.xlsx,RightAnkle,-1.51,1.37,9340.54,7575.54
